L_set_count,threshold_value,B_vector,percent_positive,percent_negative
13,1.5,"[-0.7370360218407699,-1.9144720054931335,1.7806132920041025,-0.08049576437790673,0.2902074380459658]",46.15,53.85
13,1.3,"[1.9290063645263786,-0.9696590763226016,-0.22989868215205123,0.7267094145963848,-1.2725977572181675]",15.38,84.62
12,1.1,"[-0.4669713790713894,-1.4760747238044618,1.4355607663469194,0.22501693961492641,0.6893158808634157]",33.33,66.67
12,0.7,"[-0.6100725889183973,0.3099347336126099,-0.03537078959708406,1.0625206011449584,-1.0965857164970356]",66.67,33.33
12,0.8,"[0.7511969107471126,-0.2664300919353346,-1.118757618320223,-0.6672747389946649,0.8040502498464499]",16.67,83.33
12,1.3,"[1.6682414576051685,-1.1266550640218718,-0.8533970809811446,-0.537472653175723,-1.1663546916610188]",16.67,83.33
11,1.5,"[-0.4568908430952363,-1.0647259772858413,0.7649195505116104,-1.5182985506759366,1.9978195817601732]",54.55,45.45
11,1.1,"[0.14719531772529848,0.2575895733595468,1.2531503196868532,-1.413843850793329,-1.3627330854702935]",36.36,63.64
11,1.2,"[1.5329162669114238,-0.5302612718816002,1.7941201980321528,-0.08891483733846695,-0.2730625940932021]",63.64,36.36
11,1.3,"[1.9809819495033767,0.4668842227196186,0.828592405234903,-1.1511992028341802,-0.456492257273855]",63.64,36.36
11,1.2,"[0.9183266711676912,-0.48813375087289357,0.3516374392469861,-1.488216990112809,1.4919720292599123]",27.27,72.73
11,0.9,"[1.6085788331083064,-0.0518004411331483,-0.6413941226817417,-0.8585278694831779,0.6172863137371993]",27.27,72.73
11,1.2,"[-0.27400963322844474,0.22745579276976802,-1.6976320870785613,-1.642191680695758,-0.8397947339235117]",81.82,18.18
10,0.7,"[-0.21708483335866546,0.7180576708645363,-0.9795620251168167,-1.0873967939933746,-0.09342447900049367]",40.00,60.00
10,1.2,"[0.2733271740408614,-1.86738110176121,-1.2304268671529348,1.1260469498847177,0.1915577141568403]",50.00,50.00
10,1.5,"[-1.6664727140883286,1.977323643096597,-1.4613421085611922,0.04205890885102903,0.028293086355211994]",30.00,70.00
10,1.2,"[0.2856687269097611,-0.3661949118353953,0.29774314381370637,1.7030424296412847,-1.7464177127785954]",60.00,40.00
10,1.1,"[-1.930242605267345,-0.6341286740187635,-0.3713492984845459,0.4881538359803588,1.089419597330283]",30.00,70.00
